AF3_LowerBand,AF3_AlphaBand,AF3_DeltaBand,AF3_ThetaBand,AF3_BetaBand,AF3_Beta1Band,AF3_Beta2Band,AF3_GammaBand,AF4_LowerBand,AF4_AlphaBand,AF4_DeltaBand,AF4_ThetaBand,AF4_BetaBand,AF4_Beta1Band,AF4_Beta2Band,AF4_GammaBand,T8_LowerBand,T8_AlphaBand,T8_DeltaBand,T8_ThetaBand,T8_BetaBand,T8_Beta1Band,T8_Beta2Band,T8_GammaBand,T7_LowerBand,T7_AlphaBand,T7_DeltaBand,T7_ThetaBand,T7_BetaBand,T7_Beta1Band,T7_Beta2Band,T7_GammaBand,AF3vAF4LowerBand,AF3vAF4AlphaBand,AF3vAF4DeltaBand,AF3vAF4ThetaBand,AF3vAF4BetaBand,AF3vAF4Beta1Band,AF3vAF4Beta2Band,AF3vAF4GammaBand,T8vT7LowerBand,T8vT7AlphaBand,T8vT7DeltaBand,T8vT7ThetaBand,T8vT7BetaBand,T8vT7Beta1Band,T8vT7Beta2Band,T8vT7GammaBand,Class
23086.2497456542,1325.2264022003,19669.3476464939,3620.64846401624,1728.93332864785,1034.34699079189,702.667948454607,756.687534611324,13208.098661063,1085.03674679472,11203.5810450851,2039.72997225797,1791.61813867996,1082.39443846602,709.446946797755,691.8476683689,52.1183835649755,4.6135280131429,41.4516623064489,10.7817639251856,4.79816438104765,2.61972596697631,2.25049504144809,3.35475315221973,139.174832911957,58.1798317250684,68.3632280230761,79.9661717583441,135.317729195458,49.9910639611857,85.4057809149024,134.738829901062,1.7478859249978,1.22136545708255,1.75563041560919,1.77506263733929,0.965012181625767,0.95561003829415,0.990444671904296,1.09371985945301,0.374481380537717,0.0792977201265268,0.606344426750253,0.13482906194094,0.0354585050279481,0.0524038850025342,0.0263506172221581,0.0248981912243345,Alert
23144.9946131631,1493.2541224921,20671.8732654058,2756.33633760753,1654.7537048577,954.170778057716,712.866708398095,755.371337344671,13928.0179814171,1164.84527410803,12123.6882731944,1860.7276349112,1885.50809905242,1160.06386773776,727.054330767143,674.247125990069,9.23135098594125,0.770349737403294,7.57937590458716,1.67163936014889,0.878572915203912,0.486834477076725,0.399436293090247,0.507058643706565,101.270677532477,45.5541872298396,51.1432491069042,58.0987684820403,119.915506017172,45.2666525267983,75.215508357565,109.180396924681,1.66175795034464,1.28193345132086,1.70508122607469,1.48132176138668,0.877616863957951,0.822515729171399,0.980486159329966,1.12031821601832,0.0911552209471569,0.0169106241214789,0.148198951708056,0.0287723716668045,0.0073265997399711,0.0107548150769159,0.00531055764711949,0.00464422788329267,Alert
17587.9395072429,1778.89634011807,15549.646067767,2304.76205049805,1641.58726861155,970.824140949637,687.419789723578,677.205798349235,11167.5117563085,1318.52687608808,9400.54807163086,1827.78114824534,1828.02633131391,1171.00233823387,661.995881822107,656.029977228546,0.687887204407317,0.0510193679425536,0.586322944028648,0.10379758402257,0.0680621259205237,0.0367856157318733,0.0316182279765098,0.0299668194844641,103.03197771863,43.764026823504,51.9107707493209,58.1377335600474,124.817525770069,50.9350851743321,74.9999447928803,107.583886036422,1.57492016941979,1.34915440282556,1.65412122243096,1.26096171454149,0.898010734578226,0.829053973038048,1.03840493362511,1.03227874008159,0.00667644375696515,0.00116578321616312,0.0112948225496405,0.00178537376100778,0.000545293022759507,0.000722205835250292,0.00042157668334059,0.000278543753981141,Alert
11518.6164087554,1922.83679171824,9362.66050315559,2260.31395781903,1720.91044166214,1022.78161891241,716.21323267447,561.500120949111,7793.54973142219,1490.14761973378,6074.5032730288,1753.43294613494,1724.58443832199,1121.35866465289,612.069928445442,626.475154863827,0.00598413776566138,0.00048229726610206,0.00506496929483829,0.000975451756319559,0.000674815721865257,0.000352897960362512,0.000325399736305609,0.00022317943762211,101.540056423539,42.0565657003439,51.7625622964787,56.2384579182186,137.899047062019,57.7731018253629,81.790513203502,124.745055439704,1.47796791009294,1.29036664975632,1.5413047095927,1.28907921047189,0.997869633647262,0.912091421908271,1.17014935612592,0.896284739450139,5.89337644318479e-05,1.14678233486411e-05,9.78500497295292e-05,1.73449236061567e-05,4.89354884056424e-06,6.10834366188707e-06,3.9784532895152e-06,1.78908443974346e-06,Alert
9140.17375773637,1758.5146156682,6438.73882338128,2725.07533383244,1833.18406789898,1036.92923153728,810.783518999818,470.129649394184,6632.8407959225,1482.5897678791,4652.93866161492,2008.26719695102,1670.03594900119,1035.53220747061,645.325593970064,562.785551816938,0.129987581803759,0.0578666281035258,0.046598904364669,0.0845420747940583,0.0354185561408561,0.0232983342291694,0.0121816505609868,0.0214783037267167,154.555544680173,47.8080735633164,83.8597058197629,78.535700790147,149.681700487909,63.8486779423235,87.7498248289692,148.1834790161,1.37801796228175,1.18611004457681,1.38380049505027,1.35692866864015,1.09769138143126,1.00134908799224,1.25639448764437,0.835361973804024,0.000841041206724396,0.0012103944750438,0.000555676935772022,0.00107647953661177,0.000236625826840585,0.000364899242709701,0.000138822505739809,0.00014494398342735,Alert
12254.2479644723,1579.29646004676,8297.27487525021,4233.09800291847,1814.58662670649,941.722632166766,879.617725543791,440.853930793974,12931.9303271458,1563.13291693088,8917.92652151523,4080.37557100533,1722.97251323795,1022.66497333506,710.667781555222,507.487396032215,2.25512051230697,1.01178232025951,0.785284601949703,1.48836189129133,0.705391334652939,0.441874905355602,0.265213006127974,0.369730786405267,651.718293911729,76.0887208291918,374.221133944179,291.756580165914,174.430352522693,88.0672222085979,87.851421538787,177.733379365458,0.947596194417238,1.01034047900905,0.93040404125694,1.03742852324633,1.05317212710281,0.920851556199949,1.23773406980522,0.868699270643539,0.00346026885139488,0.0132974021541355,0.00209845070392748,0.00510138242792997,0.00404397127249497,0.00501747295161607,0.00301888121424286,0.00208025519868736,Alert
22221.5588211311,1818.03160365722,16107.226774701,6716.51297559178,1787.69291619836,845.011249389519,944.36415520115,552.292035913151,40738.0689860854,2130.43618240608,29871.4341006257,10964.3144561144,2117.50693282602,1300.65909291715,826.299414255418,581.041446290707,12.0931735961855,5.44903737080033,4.15337100618247,8.034910207398,4.09339752619893,2.50084613371656,1.60392386188946,1.96908401014753,2199.82162119387,141.725249978609,1293.70842064131,933.545396435478,244.093661465654,154.638528002773,90.0448813214265,227.129620474521,0.545474033850774,0.853361212446159,0.539218395757023,0.612579382183464,0.844244185690815,0.649679269526583,1.14288372823321,0.950520895607209,0.00549734282074305,0.0384478938765163,0.00321043825634496,0.00860687679257741,0.0167697821468211,0.0161722060214626,0.0178124934849329,0.00866942852294521,Alert
35492.5755252379,2411.98454162857,27441.7042600246,8620.91061748595,2350.38274394739,1027.28799157731,1327.03621786607,1037.17744101064,89950.8922085799,3045.75078683141,68707.1210088773,21406.0995436819,3262.86140758655,1936.21178745373,1334.37815250281,1063.68998376784,29.1686929379037,13.1890992776153,9.92012545893861,19.4702725653897,10.5178217582564,6.30736947304468,4.24272594668592,4.71732480835812,4178.20325515886,222.466114362252,2514.4276015753,1701.96808595208,346.179156706021,241.481571249041,104.74928137665,269.136792648106,0.394577248249378,0.791917891659756,0.399401166241255,0.402731501827031,0.720344032536125,0.530565921679607,0.994497860578001,0.975074934274284,0.0069811570085512,0.0592858796290159,0.00394528180199883,0.0114398576131338,0.0303825968563099,0.026119465102121,0.0405036281960753,0.0175276102607271,Alert
43130.9922533392,2896.72974473877,34872.4877285212,8661.33149550371,3898.1714374961,1487.11647307079,2419.38124747359,2195.37158217317,118876.251025103,3643.79066403724,93766.1635823871,25441.9228732749,5144.66333271807,2512.77383187909,2634.49214734908,2341.32310767525,35.7083819353754,16.1996313443415,12.046997485448,23.9246610654013,13.6458679330879,8.05321388616044,5.63805963639891,5.73327616270565,4516.25027127073,252.325164861521,2785.28637840736,1764.00243312102,391.363151210914,270.883024566652,120.761194674977,256.457474906776,0.362822614958065,0.794976992868534,0.371909081018129,0.340435412002678,0.757711668459478,0.591822652004738,0.918348247842781,0.937662800566214,0.0079066437399467,0.0642014099276702,0.00432522758838772,0.0135627143229456,0.0348675338770815,0.0297294889520805,0.0466876768781021,0.0223556601919665,Alert
41286.7429201877,2910.10475345075,34471.8287740917,7321.82647952593,5614.60836191559,1854.96893935361,3767.8265794977,3729.1380296324,95620.7608143081,3394.50817075767,77759.2348070217,18298.0484134818,6701.72935537913,2508.93285380823,4192.94325941955,4075.6635053438,22.7295910295787,10.3602978665336,7.61022665741777,15.2903020979329,9.24359311896473,5.3739943295017,3.90528779702678,3.63135287602408,2819.86692027646,204.84810978381,1779.64479691134,1056.62143553735,329.9620249103,207.951412349509,122.743451568084,205.685595677005,0.431775929919288,0.857297907991543,0.443314917638295,0.400142480447877,0.837785005061274,0.73934578860411,0.898611392136823,0.914976917192243,0.00806051905007996,0.0505755111798078,0.00427626157232369,0.0144709368783124,0.0280141119920621,0.0258425478758928,0.0318166692164475,0.0176548720588413,Alert
